movimiento_id,buque_id,matricula,radar_id,muelle,tipo_carga,origen,fecha_ingreso,hora_ingreso,fecha_egreso,hora_egreso,tonelaje_declarado,velocidad_ingreso,velocidad_maxima_muelle,estado_despacho
MOV-00013,B-015,ZIM-DELTA,R-01,muelle  f!!,TRIGO,ROTTERDAM,2021-12-20,20:32,2021-12-23,5:43,4918.63,13.1,12,EN_REVISION
MOV-00014,B-003,MAERSK-PAMPAS,,MUELLE-E,TRIGO,SHANGHAI,2023-06-30,10:42,2023-07-01,19:13,6604.27,13.9,12,RECHAZADO
MOV-00015,B-038,YANG-ESTE,R-06,muelle  d!!,MINERALES,HAMBURG,2020-12-13,21:05,2020-12-15,6:21 AM,2873.03,11.6,15,PENDIENTE
MOV-00016,B-032,COSCO-TIGRE,R-04,MUELLE-B,GRANOS,BUENOS AIRES,2022-11-26,14:03,2022-11-28,2:49,5421.5,17.3,15,RECHAZADO
MOV-00017,B-016,PIL-SANTA,R-08,MUELLE-F,TRIGO,VALPARAISO,2021-11-18,10:57,2021-11-19,06:54 PM,5870.05,13.2,12,
MOV-00018,B-023,YANG-MING,R-07,MUELLE-D,TRIGO,HAMBURG,2021-11-19,21:43,2021-11-22,12:22 AM,4801.28,15.4,12,PENDIENTE
MOV-00019,B-018,MAERSK-PAMPAS,R-05,MUELLE-A,MINERALES,SANTA FE,2020-05-20,20:02,21-05-2020,9:10 PM,6113.77,12.0,15,DESPACHADO
MOV-00020,B-007,PIL-OESTE,R-01,MUELLE-C,CONTENEDORES,ROTTERDAM,2021-05-12,3:44,2021-05-13,6:48 PM,6632.53,14.1,15,PENDIENTE
MOV-00021,B-028,HAPAG-RIO,R-05,MUELLE-E,MINERALES,HAMBURG,2024-10-10,7:53,2024-10-10,01:45 AM,5736.56,8.4,12,RECHAZADO
MOV-00022,B-016,MAERSK-PAMPAS,R-08,MUELLE-E,TRIGO,HAMBURG,2021-03-29,12:44,2021-03-30,10:52,4787.95,12.2,12,RECHAZADO
MOV-00023,B-031,PIL-SANTA,R-05,MUELLE-A,TRIGO,VALPARAISO,2022-12-29,4:17,2022-12-29,39:54:00,4346.69,14.0,15,PENDIENTE
MOV-00024,B-004,CMA-ROSARIO,R-03,MUELLE-E,HARINA,BUENOS AIRES,2023-05-05,19:14,2023-05-08,11:43 PM,6501.03,15.5,15,PENDIENTE
MOV-00025,B-039,HAPAG-SUR,R-05,MUELLE-A,TRIGO,VALPARAISO,2021-04-23,8:50,2021-04-24,19:23,4615.67,8.8,15,EN_REVISION
MOV-00026,B-006,YANG-ESTE,R-01,MUELLE-D,ACEITE,VALPARAISO,2023-04-17,0:48,2023-04-18,sin dato,7576.43,16.2,15,DESPACHADO
MOV-00027,B-026,ZIM-NORTE,R-01,MUELLE-D,SOJA,SHANGHAI,2024-11-06,16:52,2024-11-06,19:10,3586.83,19.1,12,EN_REVISION
MOV-00028,B-011,YANG-MING,R-01,MUELLE-E,CONTENEDORES,BUENOS AIRES,2020-08-28,20:53,2020-08-29,18:36,7648.32,11.7,12,PENDIENTE
MOV-00029,B-033,PIL-SANTA,R-01,MUELLE-C,HARINA,HAMBURG,2023-02-04,17:24,2023-02-07,3:49,3696.06,13.1,12,PENDIENTE
MOV-00030,B-038,MSC-ALPHA,R-02,MUELLE-D,SOJA,HAMBURG,2020-11-12,2:30,2020-11-13,20:47,4787.64,9.0,15,DESPACHADO
MOV-00031,B-028,MAERSK-LIMA,R-02,MUELLE-D,MAIZ,VALPARAISO,2022-01-04,11:27,2022-01-05,1:21,7051.4,13.5,12,DESPACHADO
MOV-00032,B-035,HAPAG-RIO,R-02,muelle  d!!,ACEITE,VALPARAISO,2021-02-11,AB:CD,2021-02-14,5:25,4514.36,8.9,12,RECHAZADO
MOV-00033,B-015,YANG-ESTE,R-06,MUELLE-B,TRIGO,VALPARAISO,21/03/2020,9:50,2020-03-23,8:34,3203.27,7.3,15,PENDIENTE
MOV-00034,B-019,MSC-ALPHA,R-02,MUELLE-D,SOJA,MONTEVIDEO,32/13/2021,17:23,2024-09-29,23:05,6229.05,186.1,12,PENDIENTE
MOV-00035,B-020,MAERSK-PAMPAS,R-02,MUELLE-B,GRANOS,SANTA FE,2024-12-22,17:08,2024-12-24,21:41,,12.0,10,EN_REVISION
MOV-00036,B-007,EVERGREEN-02,R-06,MUELLE-A,CONTENEDORES,VALPARAISO,2020-07-06,21:13,2020-07-07,24:00:00,7869.46,10.5,12,PENDIENTE
MOV-00037,B-012,MAERSK-LIMA,R-01,muelle  b!!,GRANOS,SHANGHAI,2020-04-17,4:47,2020-04-19,02:43 PM,4818.46,11.7,12,PENDIENTE
MOV-00038,B-007,HAPAG-SUR,R-08,MUELLE-A,SOJA,SHANGHAI,2023-04-13,17:45,2023-04-15,23:12,5881.61,13.0,15,PENDIENTE
MOV-00039,B-021,MAERSK-PAMPAS,R-06,MUELLE-F,HARINA,SHANGHAI,2024-08-30,2:05,2024-09-01,2:23,4473.89,8.9,10,PENDIENTE
MOV-00040,B-014,CMA-ROSARIO,R-08,MUELLE-B,SOJA,SHANGHAI,2024-07-11,13:54,2024-07-11,07:21 AM,5727.86,13.6,10,EN_REVISION
MOV-00041,B-030,MSC-ALPHA,R-03,MUELLE-C,HARINA,SHANGHAI,2020-04-11,21:05,2020-04-13,15:29,5518.64,10.8,15,DESPACHADO
MOV-00042,B-009,PIL-SANTA,R-05,MUELLE-C,SOJA,SANTA FE,2022-12-26,22:14,2022-12-29,11:21 PM,4986.01,10.1,12,RECHAZADO
MOV-00043,B-030,EVERGREEN-02,R-02,MUELLE-D,SOJA,SAO PAULO,2024-11-17,9:47,2024-11-19,23:3,3759.99,10.1,12,RECHAZADO
MOV-00044,B-032,CMA-LITORAL,,MUELLE-F,ACEITE,SHANGHAI,2021-09-12,8:37,2021-09-12,09:55 PM,3745.51,13.2,15,PENDIENTE
MOV-00045,B-013,MSC-ALPHA,R-08,MUELLE-E,MAIZ,SANTA FE,02/01/2024,2:32,2024-01-03,04:59 PM,7045.67,15.9,12,RECHAZADO
MOV-00046,B-017,YANG-ESTE,R-03,MUELLE-C,SOJA,MONTEVIDEO,2022-03-13,4:38,2022-03-13,4:59,4352.23,16.1,15,EN_REVISION
MOV-00047,B-015,CMA-ROSARIO,R-03,MUELLE-A,HARINA,BUENOS AIRES,2020-09-25,19:24,2020-09-26,11:24,3710.41,6.8,15,DESPACHADO
MOV-00048,B-013,,R-08,MUELLE-D,HARINA,ROTTERDAM,2020-10-10,8:03,2020-10-13,02:47 AM,7161.7,10.8,15,RECHAZADO
MOV-00049,B-033,@#$%,R-04,MUELLE-D,SOJA,SHANGHAI,2023-08-24,10:50,2023-08-25,13:03,7730.21,13.2,15,PENDIENTE
MOV-00050,B-004,ZIM-DELTA,,MUELLE-F,MINERALES,BUENOS AIRES,2020-02-03,20:32,05-02-2020,00:25 XM,5731.9,9.0,15,DESPACHADO
MOV-00051,B-025,EVERGREEN-02,R-05,MUELLE-F,GRANOS,SHANGHAI,2020-07-31,18:47,2020-08-02,14:51,,16.0,15,DESPACHADO
MOV-00052,B-020,ONE-PLATA,R-07,MUELLE-E,MINERALES,VALPARAISO,2024-10-31,1:55,2024-11-01,26:11:00,5016.16,10.0,12,DESPACHADO
MOV-00053,B-019,MSC-ALPHA,R-02,MUELLE-A,ACEITE,VALPARAISO,2023-11-13,14:22,2023-11-16,6:21,3200.68,13.6,10,EN_REVISION
MOV-00054,B-005,ZIM-DELTA,R-06,MUELLE-C,CONTENEDORES,SANTA FE,2022-06-28,2:36,2022-06-28,____,3738.64,5.4,12,PENDIENTE
MOV-00055,B-005,CMA-LITORAL,R-03,MUELLE-F,MINERALES,BUENOS AIRES,2023-01-15,9:57,2023-01-17,23:09,4068.6,7.9,15,EN_REVISION
MOV-00056,B-020,COSCO-TIGRE,R-08,MUELLE-E,CONTENEDORES,ROTTERDAM,2022-07-10,14:43,2022-07-13,11:39 PM,5739.47,13.9,10,DESPACHADO
MOV-00057,B-006,PIL-SANTA,,MUELLE-F,HARINA,MONTEVIDEO,2020-12-11,18:37,2020-12-12,6:55,4600.06,11.1,15,EN_REVISION
MOV-00058,B-020,HAPAG-SUR,R-04,MUELLE-F,CONTENEDORES,VALPARAISO,2022-05-01,15:29,2022-05-02,9:42,5378.26,12.5,12,RECHAZADO
MOV-00059,B-027,ZIM-DELTA,R-03,MUELLE-C,ACEITE,SAO PAULO,2024-12-05,9:31,2024-12-05,2:32,3557.05,92.9,12,PENDIENTE
MOV-00060,B-004,PIL-OESTE,R-04,MUELLE-C,HARINA,BUENOS AIRES,2024-08-17,19:43,2024-08-18,12:30,2960.28,11.9,12,RECHAZADO
MOV-00061,B-040,MSC-ALPHA,R-03,MUELLE-D,HARINA,SHANGHAI,2022-01-24,AB:CD,2022-01-25,12:29,4740.29,9.6,10,RECHAZADO
MOV-00062,B-010,ZIM-DELTA,R-01,MUELLE-E,SOJA,SAO PAULO,2023-11-15,6:26,2023-11-18,21:09,3834.7,13.1,12,DESPACHADO
MOV-00063,B-017,YANG-ESTE,,MUELLE-B,TRIGO,VALPARAISO,2024-04-28,9:45,2024-04-29,sin dato,5506.97,20.0,12,EN_REVISION
MOV-00064,B-029,PIL-SANTA,R-08,MUELLE-B,TRIGO,VALPARAISO,2021-05-05,7:03,2021-05-08,10:20 XM,6079.58,15.2,15,EN_REVISION
MOV-00065,B-004,COSCO-STAR,R-04,MUELLE-E,GRANOS,MONTEVIDEO,2024-09-08,12:50,2024-09-11,11:19 AM,5551.09,10.7,10,RECHAZADO
MOV-00066,B-022,HAPAG-RIO,,MUELLE-F,HARINA,MONTEVIDEO,2023-10-13,6:11,2023-10-15,06:59 PM,4821.74,6.7,15,DESPACHADO
MOV-00067,B-004,MAERSK-LIMA,R-08,MUELLE-C,MAIZ,ROTTERDAM,2022-01-22,19:14,2022-01-24,24:00:00,4372.56,8.0,12,EN_REVISION
MOV-00068,B-037,MAERSK-LIMA,,MUELLE-E,TRIGO,MONTEVIDEO,2023-10-25,6:45,2023-10-28,10:57 PM,4314.36,15.2,10,PENDIENTE
MOV-00069,B-004,COSCO-STAR,R-08,MUELLE-A,HARINA,ROTTERDAM,2023-08-15,13:23,2023-08-17,01:16 AM,5243.16,6.9,15,PENDIENTE
MOV-00070,B-035,MAERSK-PAMPAS,R-07,MUELLE-B,TRIGO,HAMBURG,2024-04-16,3:02,2024-04-18,21:28,5435.43,13.6,15,EN_REVISION
MOV-00071,B-015,PIL-OESTE,R-06,MUELLE-E,ACEITE,SAO PAULO,2021-03-28,13:19,2021-03-30,18:55,7492.52,5.9,15,EN_REVISION
MOV-00072,B-015,YANG-MING,R-03,MUELLE-D,GRANOS,ROTTERDAM,2021-06-06,6:21,2021-06-06,3:44,4397.33,11.4,10,RECHAZADO
MOV-00073,B-001,ONE-PARANA,R-04,MUELLE-F,SOJA,HAMBURG,2021-05-05,17:20,2021-05-07,02:20 PM,4372.87,7.6,12,PENDIENTE
MOV-00074,B-038,PIL-OESTE,,MUELLE-C,MAIZ,SAO PAULO,2022-10-19,17:41,2022-10-21,12:25 AM,5195.16,15.9,10,EN_REVISION
MOV-00075,B-004,MSC-GENOVA,R-07,MUELLE-B,TRIGO,BUENOS AIRES,32/13/2021,30:17:00,2020-05-06,06:05 PM,6422.25,12.2,12,PENDIENTE
MOV-00076,B-017,@#$%,R-05,MUELLE-D,SOJA,SHANGHAI,2021-04-07,9:43,2021-04-07,16:12,4133.71,12.6,15,RECHAZADO
MOV-00077,B-014,PIL-OESTE,R-08,MUELLE-C,GRANOS,BUENOS AIRES,2021-01-02,10:01,2021-01-03,10:53,6246.11,9.7,10,EN_REVISION
MOV-00078,B-004,MAERSK-LIMA,R-07,MUELLE-B,SOJA,SHANGHAI,2021-07-13,14:31,2021-07-14,10:10,6046.42,11.5,15,
MOV-00079,B-020,CMA-LITORAL,R-06,MUELLE-C,SOJA,MONTEVIDEO,2022-11-15,AB:CD,2022-11-15,22:39,5502.08,15.0,15,DESPACHADO
MOV-00080,B-010,COSCO-STAR,R-03,MUELLE-D,HARINA,ROTTERDAM,2021-05-20,23:40,2021-05-23,12:44,4522.23,12.1,12,EN_REVISION
MOV-00081,B-021,HAPAG-RIO,R-07,MUELLE-C,HARINA,HAMBURG,2022-01-17,3:59,2022-01-18,07:0 AM,4553.31,14.2,12,PENDIENTE
MOV-00082,B-028,COSCO-TIGRE,R-02,MUELLE-D,MINERALES,ROTTERDAM,2023-12-07,17:38,2023-12-08,3:29,2956.91,10.6,12,RECHAZADO
MOV-00083,B-015,CMA-LITORAL,R-06,MUELLE-D,MINERALES,MONTEVIDEO,2022-05-01,2:07,2022-05-02,10:25,6377.79,121.2,12,EN_REVISION
MOV-00084,B-036,HAPAG-RIO,R-06,MUELLE-E,CONTENEDORES,HAMBURG,04/08/2023,21:27,2023-08-07,9:51,5500.0,8.0,10,PENDIENTE
MOV-00085,B-032,ONE-PLATA,R-06,MUELLE-E,CONTENEDORES,ROTTERDAM,2020-12-19,21:45,2020-12-21,01:56 XM,3661.36,16.7,15,DESPACHADO
MOV-00086,B-011,HAPAG-SUR,R-05,muelle  b!!,MAIZ,SHANGHAI,2022-09-19,4:12,2022-09-21,10-41,3241.61,7.9,10,RECHAZADO
MOV-00087,B-036,ONE-PLATA,R-02,MUELLE-E,SOJA,VALPARAISO,2022-06-22,17:13,2022-06-25,08:32 AM,3052.13,10.7,15,EN_REVISION
MOV-00088,B-011,YANG-ESTE,R-03,MUELLE-B,TRIGO,SANTA FE,2021-10-24,22:18,2021-10-26,15:18,3415.63,11.2,10,EN_REVISION
MOV-00089,B-026,HAPAG-SUR,R-03,MUELLE-E,HARINA,ROTTERDAM,2022-04-05,16:47,2022-04-07,18:29,3376.24,13.3,10,RECHAZADO
MOV-00090,B-021,YANG-MING,R-06,MUELLE-E,MAIZ,HAMBURG,22/07/2020,20:50,2020-07-25,04:06 AM,6600.55,8.9,10,EN_REVISION
MOV-00091,B-011,EVER-GLORY,R-07,MUELLE-F,HARINA,SAO PAULO,2021-03-13,15:04,00/00/0000,7:29,3952.69,8.1,10,RECHAZADO
MOV-00092,B-009,CMA-ROSARIO,R-02,MUELLE-E,GRANOS,MONTEVIDEO,2020-11-06,13:39,2020-11-09,19:31,4506.73,13.7,15,RECHAZADO
MOV-00093,B-020,ONE-PARANA,,MUELLE-F,CONTENEDORES,VALPARAISO,2022-10-10,12:07,2022-10-11,19:40,5449.48,6.8,10,DESPACHADO
MOV-00094,B-003,EVER-GLORY,R-07,MUELLE-E,HARINA,ROTTERDAM,2023-01-06,19:09,2023-01-08,19:38,4851.58,10.8,15,RECHAZADO
MOV-00095,B-040,YANG-ESTE,R-01,muelle  c!!,MAIZ,BUENOS AIRES,2022-10-13,11:33,2022-10-16,03:03 PM,4512.15,7.5,10,DESPACHADO
MOV-00096,B-032,PIL-OESTE,R-03,MUELLE-C,MAIZ,VALPARAISO,2021-04-12,23:32,2021-04-13,10:40,6414.81,9.2,10,DESPACHADO
MOV-00097,B-024,MAERSK-LIMA,,MUELLE-B,TRIGO,SANTA FE,32/13/2021,9:20,2024-05-04,23:36,6218.43,13.4,12,RECHAZADO
MOV-00098,B-023,MSC-GENOVA,R-06,MUELLE-A,CONTENEDORES,VALPARAISO,2022-10-04,1:09,2022-10-05,10:10 PM,5952.49,20.2,12,DESPACHADO
MOV-00099,B-021,COSCO-TIGRE,R-06,MUELLE-C,MINERALES,VALPARAISO,2020-08-11,4:06,2020-08-12,23:09,5720.42,12.9,15,PENDIENTE
MOV-00100,B-023,COSCO-TIGRE,R-01,MUELLE-F,HARINA,VALPARAISO,2023-02-12,23:35,2023-02-14,11:05 PM,6198.39,12.6,12,PENDIENTE
MOV-00101,B-029,CMA-ROSARIO,R-02,muelle  c!!,SOJA,SANTA FE,09/08/2024,23:25,2024-08-12,21:51,7588.44,14.1,12,RECHAZADO
MOV-00102,B-013,ONE-PLATA,R-04,MUELLE-F,GRANOS,ROTTERDAM,32/13/2021,16:20,2023-03-06,07:52 PM,2924.29,12.7,12,EN_REVISION
MOV-00103,B-015,PIL-OESTE,R-07,MUELLE-C,MAIZ,MONTEVIDEO,2022-01-04,18:01,2022-01-06,14:47,3183.15,,15,PENDIENTE
MOV-00104,B-012,MSC-ALPHA,R-01,MUELLE-A,MAIZ,MONTEVIDEO,2022-02-04,22:42,2022-02-07,12:27,6357.43,7.1,10,DESPACHADO
MOV-00105,B-019,CMA-ROSARIO,R-03,MUELLE-F,GRANOS,ROTTERDAM,2021-03-28,20:36,2021-03-29,11:55 PM,5434.73,14.4,15,DESPACHADO
MOV-00106,B-001,ever glory!!,R-07,muelle  d!!,CONTENEDORES,MONTEVIDEO,2022-02-07,3:53,2022-02-09,07:49 AM,3830.31,12.1,15,RECHAZADO
MOV-00107,B-022,YANG-ESTE,R-08,MUELLE-F,GRANOS,ROTTERDAM,2020-07-26,10:13,2020-07-27,7:39,3999.58,90.5,10,PENDIENTE
MOV-00108,B-019,COSCO-STAR,R-08,MUELLE-A,HARINA,ROTTERDAM,2023-08-07,17:24,2023-08-08,17:21,3238.98,12.3,10,RECHAZADO
MOV-00109,B-025,ONE-PLATA,R-07,MUELLE-E,MINERALES,SAO PAULO,2020-03-12,16:36,2020-03-15,11:01 PM,4636.62,14.9,15,RECHAZADO
MOV-00110,B-005,COSCO-STAR,R-07,MUELLE-E,CONTENEDORES,SHANGHAI,2024-05-29,22:39,2024-06-01,22:57,2342.09,11.2,10,EN_REVISION
MOV-00111,B-012,PIL-SANTA,R-07,MUELLE-B,CONTENEDORES,SANTA FE,32/13/2021,23:30,2020-04-12,15:42,5827.96,10.3,10,RECHAZADO
MOV-00112,B-014,MAERSK-PAMPAS,R-08,MUELLE-E,ACEITE,SANTA FE,2020-10-04,16:56,2020-10-04,1:16,6728.89,13.9,12,PENDIENTE
MOV-00113,B-031,PIL-OESTE,R-06,muelle  c!!,MAIZ,VALPARAISO,2024-10-14,AB:CD,2024-10-16,,,14.9,10,DESPACHADO
MOV-00114,B-018,MAERSK-PAMPAS,R-07,MUELLE-C,MINERALES,VALPARAISO,2022-03-24,18:06,2022-03-24,,3234.8,12.9,15,PENDIENTE
MOV-00115,B-016,EVER-GLORY,R-07,MUELLE-F,ACEITE,MONTEVIDEO,2022-05-07,12:24,2022-05-07,06:58 AM,2676.17,3.4,12,DESPACHADO
MOV-00116,B-036,HAPAG-RIO,R-06,MUELLE-F,SOJA,SAO PAULO,2024-06-02,10:23,2024-06-03,03:40 AM,5405.43,18.0,12,EN_REVISION
MOV-00117,B-037,,R-03,MUELLE-C,MAIZ,BUENOS AIRES,2023-07-23,1:00,2023-07-25,03:18 PM,,19.7,12,RECHAZADO
MOV-00118,B-034,ONE-PARANA,R-01,MUELLE-F,GRANOS,SAO PAULO,2020-07-29,12:32,2020-07-31,10:0,4616.91,9.4,10,PENDIENTE
MOV-00119,B-009,ONE-PARANA,R-01,MUELLE-E,MAIZ,BUENOS AIRES,2024-11-30,20:16,2024-12-03,10:44,4485.43,,12,EN_REVISION
MOV-00120,B-040,YANG-ESTE,R-03,MUELLE-D,SOJA,BUENOS AIRES,2023-06-01,6:49,2023-06-02,17:58,-4563.89,12.9,10,EN_REVISION
MOV-00121,B-007,PIL-SANTA,R-04,MUELLE-D,HARINA,VALPARAISO,2024-10-11,26:42:00,2024-10-13,,7090.14,13.7,10,RECHAZADO
MOV-00122,B-025,HAPAG-SUR,R-07,MUELLE-F,MAIZ,BUENOS AIRES,2020-07-31,AB:CD,2020-08-03,,4861.57,,10,PENDIENTE
MOV-00123,B-034,PIL-OESTE,R-04,MUELLE-F,ACEITE,BUENOS AIRES,2023-09-21,26:32:00,2023-09-24,11:51,4522.16,10.1,12,RECHAZADO
MOV-00124,B-016,COSCO-STAR,R-08,MUELLE-D,MINERALES,BUENOS AIRES,32/13/2021,20:01,2024-03-07,08:10 PM,4429.79,12.5,12,RECHAZADO
MOV-00125,B-039,HAPAG-SUR,R-06,MUELLE-F,MINERALES,BUENOS AIRES,2021-12-28,20:51,2021-12-30,19:59,5049.73,9.9,12,DESPACHADO
MOV-00126,B-003,PIL-OESTE,R-02,MUELLE-D,MINERALES,MONTEVIDEO,2022-06-05,18:30,2022-06-08,0:51,6958.34,12.1,15,RECHAZADO
MOV-00127,B-009,CMA-ROSARIO,R-07,MUELLE-E,HARINA,SHANGHAI,2023-11-07,11:58,2023-11-08,05:32 AM,5509.85,16.0,12,PENDIENTE
MOV-00128,B-034,MAERSK-LIMA,R-01,MUELLE-D,MAIZ,SANTA FE,2021-08-09,21:16,2021-08-10,12:04,5618.79,16.8,10,DESPACHADO
MOV-00129,B-025,COSCO-TIGRE,R-07,MUELLE-F,ACEITE,SANTA FE,2024-08-26,7:58,2024-08-28,03:14 AM,4967.85,10.0,12,DESPACHADO
MOV-00130,B-022,CMA-LITORAL,R-03,MUELLE-A,MAIZ,SHANGHAI,2021-09-08,15:50,2021-09-10,21:22,5249.07,7.8,15,DESPACHADO
MOV-00131,B-036,MSC-GENOVA,R-02,MUELLE-F,ACEITE,HAMBURG,2021-05-14,AB:CD,2021-05-15,3:54,6365.94,9.7,15,PENDIENTE
MOV-00132,B-035,ZIM-NORTE,R-01,MUELLE-F,SOJA,SAO PAULO,2021-02-25,17:53,2021-02-28,6:17,5833.54,9.6,10,
MOV-00133,B-008,ZIM-NORTE,R-01,MUELLE-F,SOJA,SANTA FE,2024-05-30,21:19,2024-05-31,04:04 AM,4111.59,14.8,12,DESPACHADO
MOV-00134,B-001,ZIM-NORTE,R-03,MUELLE-A,GRANOS,SANTA FE,2021-03-06,23:47,2021-03-08,1:46,2170.48,10.3,12,RECHAZADO
MOV-00135,B-017,MAERSK-LIMA,R-04,MUELLE-F,MINERALES,SHANGHAI,2021-08-06,19:04,2021-08-07,9:40,74617.51,15.2,10,EN_REVISION
MOV-00136,B-031,CMA-LITORAL,R-08,MUELLE-C,HARINA,HAMBURG,2024-10-24,4:57,2024-10-27,11:29,5737.11,15.7,12,DESPACHADO
MOV-00137,B-026,ZIM-DELTA,R-05,MUELLE-B,MINERALES,BUENOS AIRES,2024-10-02,19:43,2024-10-03,18:48,4885.13,12.3,10,RECHAZADO
MOV-00138,B-025,HAPAG-SUR,R-08,MUELLE-A,GRANOS,SHANGHAI,2024-09-05,23:16,2024-09-07,2:44,4582.49,,12,DESPACHADO
MOV-00139,B-033,pil santa!!,R-04,muelle  b!!,MAIZ,MONTEVIDEO,2021-04-16,13:51,2021-04-18,16:36,,8.7,15,EN_REVISION
MOV-00140,B-026,YANG-ESTE,R-01,MUELLE-F,HARINA,BUENOS AIRES,2020-12-15,7:53,2020-12-17,80:31:00,1422.1,15.0,12,PENDIENTE
MOV-00141,B-010,YANG-ESTE,R-02,MUELLE-B,MINERALES,SANTA FE,2023-01-09,0:57,2023-01-11,11:48,6467.82,14.4,15,DESPACHADO
MOV-00142,B-019,YANG-ESTE,R-07,MUELLE-C,TRIGO,SANTA FE,2022-02-07,20:13,2022-02-09,12:13 AM,4469.82,11.3,10,DESPACHADO
MOV-00143,B-037,EVERGREEN-02,R-07,MUELLE-F,MAIZ,BUENOS AIRES,2020-07-24,6:32,2020-07-26,9:21,3243.42,13.5,10,PENDIENTE
MOV-00144,B-026,yang este!!,R-05,MUELLE-F,GRANOS,MONTEVIDEO,04/07/2024,16:18,2024-07-05,01:31 PM,65744.48,12.8,15,RECHAZADO
MOV-00145,B-005,COSCO-STAR,R-05,MUELLE-F,ACEITE,SHANGHAI,2022-04-07,18:00,2022-04-09,0:09,5457.35,19.6,12,EN_REVISION
MOV-00146,B-030,PIL-OESTE,R-01,MUELLE-D,SOJA,VALPARAISO,2023-10-18,22:14,2023-10-20,4:19,3433.59,15.6,10,DESPACHADO
MOV-00147,B-013,HAPAG-SUR,R-04,MUELLE-B,TRIGO,VALPARAISO,2021-12-30,29:02:00,2021-12-30,10:55 AM,5296.73,17.6,15,PENDIENTE
MOV-00148,B-037,CMA-ROSARIO,R-01,MUELLE-E,CONTENEDORES,HAMBURG,2024-05-08,5:29,00/00/0000,2:28 PM,3799.66,12.0,15,DESPACHADO
MOV-00149,B-024,evergreen 02!!,R-07,MUELLE-C,MINERALES,MONTEVIDEO,2024-01-16,8:51,2024-01-17,17:47,6811.06,11.4,10,PENDIENTE
MOV-00150,B-004,COSCO-TIGRE,R-02,MUELLE-F,MAIZ,SANTA FE,2020-07-16,14:47,2020-07-18,23:33,5532.93,8.9,15,PENDIENTE
MOV-00151,B-029,COSCO-STAR,R-07,MUELLE-E,HARINA,HAMBURG,2022-05-13,20:39,2022-05-16,16:51,6161.38,8.8,12,
MOV-00152,B-016,PIL-SANTA,R-02,MUELLE-B,MAIZ,ROTTERDAM,2023-01-28,1:01,2023-01-30,18:28,7326.88,,12,DESPACHADO
MOV-00153,B-030,ZIM-NORTE,R-05,MUELLE-E,MINERALES,MONTEVIDEO,2023-07-26,18:27,2023-07-29,12:11 PM,102331.62,10.2,15,PENDIENTE
MOV-00154,B-031,YANG-MING,R-01,MUELLE-D,HARINA,SAO PAULO,2022-06-14,12:15,2022-06-15,23:25,4259.56,11.4,15,DESPACHADO
MOV-00155,B-008,CMA-LITORAL,R-08,MUELLE-C,MINERALES,SAO PAULO,2020-02-15,5:06,2020-02-16,5:37 AM,5380.06,12.1,15,EN_REVISION
MOV-00156,B-005,ZIM-NORTE,R-08,MUELLE-B,TRIGO,VALPARAISO,2021-05-24,12:49,2021-05-27,22:09,5288.94,10.7,15,RECHAZADO
